Claim_Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault, Vechile_registration_present , Incident_details_present , Injury_details_present , TP_type_insd_pass_back , TP_type_insd_pass_front , TP_type_driver , TP_type_pass_back , TP_type_pass_front , TP_type_bike , TP_type_cyclist , TP_type_pass_multi , TP_type_pedestrian , TP_type_other , TP_type_nk , TP_injury_whiplash , TP_injury_traumatic , TP_injury_fatality , TP_injury_unclear , TP_injury_nk , TP_region_eastang , TP_region_eastmid , TP_region_london , TP_region_north , TP_region_northw , TP_region_outerldn , TP_region_scotland , TP_region_southe , TP_region_southw , TP_region_wales , TP_region_westmid , TP_region_yorkshire ,Incurred,Capped_Incurred
660,2006-02-05,Other,LD003,Head on collision,1,284,Minor Road,WET,Y,13,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,4931.51,4931.51
661,2006-02-06,Other,LD003,Head on collision,1,65,Minor Road,NORMAL,Y,15,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,1613.67,1613.67
662,2006-02-08,Other,LD003,Head on collision,0,8,Minor Road,NORMAL,N,8,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,86.46,86.46
663,2006-02-08,Other,LD003,Head on collision,0,13,Minor Road,WET,N,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3374.46,3374.46
664,2006-02-08,Other,LD003,Head on collision,0,263,Minor Road,WET,Y,15,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4946.13,4946.13
665,2006-02-09,Other,LD003,Head on collision,1,224,Minor Road,"SNOW,ICE,FOG",Y,7,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   ,2070.83,2070.83
666,2006-02-09,Other,LD003,Head on collision,0,165,Minor Road,NORMAL,Y,12,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
667,2006-02-17,Other,LD003,Head on collision,3,33,Main Road,WET,Y,10,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,2827.52,2827.52
668,2006-02-18,Other,LD003,Head on collision,0,201,Minor Road,NORMAL,Y,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,0.00,0.00
669,2006-02-18,Other,LD003,Head on collision,2,193,Main Road,NORMAL,N,10,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,86.46,86.46
670,2006-02-20,PH,LD003,Head on collision,1,141,Minor Road,WET,N,19,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   ,6289.65,6289.65
671,2006-02-20,Other,LD003,Head on collision,0,215,Main Road,NORMAL,N,13,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   ,8756.03,8756.03
672,2006-02-21,Other,LD003,Head on collision,2,199,Minor Road,WET,Y,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,1240.51,1240.51
673,2006-02-22,Other,LD003,Head on collision,0,120,Minor Road,WET,Y,13,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,2583.11,2583.11
674,2006-02-23,Other,LD003,Head on collision,1,362,Main Road,WET,N,7,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6811.43,6811.43
675,2006-02-24,Other,LD003,Head on collision,0,249,Minor Road,WET,Y,10,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,4437.21,4437.21
676,2006-02-25,Other,LD003,Head on collision,2,49,Minor Road,WET,N,20,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,36900.70,36900.70
677,2006-02-26,Other,LD003,Head on collision,1,218,Minor Road,WET,Y,12,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1566.84,1566.84
678,2006-02-27,Other,LD003,Head on collision,0,161,Minor Road,NORMAL,N,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,3500.95,3500.95
679,2006-02-28,Other,LD003,Head on collision,0,206,Minor Road,WET,N,12,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,0.00,0.00
680,2006-03-03,Other,LD003,Head on collision,0,39,Minor Road,"SNOW,ICE,FOG",N,18,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,21740.00,21740.00
681,2006-03-04,Other,LD003,Head on collision,2,343,Minor Road,NORMAL,Y,15,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1453.15,1453.15
682,2006-03-06,Other,LD003,Head on collision,0,362,Main Road,WET,N,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,10435.51,10435.51
683,2006-03-06,Other,LD003,Head on collision,0,197,Minor Road,NORMAL,N,12,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,9058.35,9058.35
684,2006-03-07,Other,LD003,Head on collision,0,36,Main Road,WET,Y,11,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,1030.86,1030.86
685,2006-03-11,Other,LD003,Head on collision,0,233,Minor Road,WET,Y,11,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,4230.21,4230.21
686,2006-03-11,Other,LD003,Head on collision,2,207,Main Road,NORMAL,Y,19,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,73.28,73.28
687,2006-03-11,Other,LD003,Head on collision,2,64,Home Address,NORMAL,Y,9,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,73.28,73.28
688,2006-03-14,Other,LD003,Head on collision,0,329,Minor Road,NORMAL,N,13,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,3998.66,3998.66
689,2006-03-15,Other,LD003,Head on collision,0,71,Minor Road,NORMAL,N,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2298.02,2298.02
690,2006-03-18,Other,LD003,Head on collision,2,339,Main Road,NORMAL,N,18,Other,n/k, 1 , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , 2 , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22669.51,22669.51
691,2006-03-18,Other,LD003,Head on collision,2,12,Not Applicable,NORMAL,Y,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,1113.63,1113.63
692,2006-03-24,PH,LD003,Head on collision,1,51,Motorway,NORMAL,Y,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,412.50,412.50
693,2006-03-24,Other,LD003,Head on collision,4,274,Minor Road,NORMAL,Y,15,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3357.90,3357.90
694,2006-03-25,Other,LD003,Head on collision,0,30,Minor Road,WET,N,13,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,376.75,376.75
695,2006-03-25,Other,LD003,Head on collision,2,49,Minor Road,WET,Y,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2128.37,2128.37
696,2006-03-25,Other,LD003,Head on collision,0,241,Minor Road,NORMAL,N,8,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5195.50,5195.50
697,2006-03-26,Other,LD003,Head on collision,1,243,Main Road,NORMAL,N,10,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,123.00,123.00
698,2006-03-27,Other,LD003,Head on collision,0,168,Minor Road,WET,N,12,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1152.90,1152.90
699,2006-03-28,Other,LD003,Head on collision,16,346,Main Road,N/K,Y,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3346.14,3346.14
700,2006-03-28,PH,LD003,Head on collision,0,46,Minor Road,WET,N,17,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,1126.27,1126.27
701,2006-03-29,Other,LD003,Head on collision,3,176,Main Road,NORMAL,N,7,Other,n/k, 1 , 1 , 1 , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 ,21612.32,21612.32
702,2006-03-29,Other,LD003,Head on collision,0,25,Main Road,NORMAL,N,17,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,5550.59,5550.59
703,2006-03-31,Other,LD003,Head on collision,24,244,Main Road,NORMAL,N,12,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,0.00,0.00
704,2006-04-02,Other,LD003,Head on collision,1,187,Minor Road,NORMAL,Y,5,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,190.63,190.63
705,2006-04-02,CNF,LD003,Head on collision,1,314,Motorway,NORMAL,Y,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , 3 , 1 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   ,20932.59,20932.59
706,2006-04-04,Other,LD003,Head on collision,1,56,Not Applicable,NORMAL,Y,17,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,1759.81,1759.81
707,2006-04-04,Other,LD003,Head on collision,1,164,Minor Road,NORMAL,Y,7,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,72.87,72.87
708,2006-04-05,Other,LD003,Head on collision,0,332,Minor Road,NORMAL,Y,7,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,117.73,117.73
709,2006-04-06,Other,LD003,Head on collision,0,344,Minor Road,NORMAL,Y,14,Other,n/k, 1 , 1 , -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   ,10673.66,10673.66
710,2006-04-06,Other,LD003,Head on collision,0,36,Minor Road,NORMAL,Y,12,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,744.24,744.24
711,2006-04-07,Other,LD003,Head on collision,0,96,Minor Road,NORMAL,N,12,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,214.08,214.08
712,2006-04-08,Other,LD003,Head on collision,0,219,Main Road,NORMAL,Y,10,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,1705.31,1705.31
713,2006-04-11,Other,LD003,Head on collision,1,36,Minor Road,NORMAL,Y,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,1244.91,1244.91
714,2006-04-11,Other,LD003,Head on collision,0,112,Minor Road,WET,N,8,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,2211.89,2211.89
715,2006-04-11,Other,LD003,Head on collision,0,298,Minor Road,WET,Y,18,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,4123.21,4123.21
716,2006-04-12,Other,LD003,Head on collision,1,101,Main Road,NORMAL,N,18,Y,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
717,2006-04-12,CNF,LD003,Head on collision,1,351,Main Road,NORMAL,Y,18,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,91.10,91.10
718,2006-04-13,Other,LD003,Head on collision,0,255,Minor Road,NORMAL,N,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2204.82,2204.82
719,2006-04-13,Other,LD003,Head on collision,1,212,Minor Road,NORMAL,N,19,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,85.63,85.63
720,2006-04-14,Other,LD003,Head on collision,0,257,Minor Road,NORMAL,Y,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,3781.81,3781.81
721,2006-04-15,Other,LD003,Head on collision,3,240,Main Road,NORMAL,Y,11,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,3125.63,3125.63
722,2006-04-18,CNF,LD003,Head on collision,0,118,Minor Road,WET,N,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2365.35,2365.35
723,2006-04-19,Other,LD003,Head on collision,0,85,Minor Road,NORMAL,Y,17,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   ,2161.13,2161.13
724,2006-04-21,Other,LD003,Head on collision,0,33,Main Road,NORMAL,N,16,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4535.49,4535.49
725,2006-04-23,CNF,LD003,Head on collision,15,82,Main Road,NORMAL,Y,7,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,72.87,72.87
726,2006-04-23,Other,LD003,Head on collision,4,246,Main Road,NORMAL,Y,11,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1743.71,1743.71
727,2006-04-23,Other,LD003,Head on collision,2,75,Other,NORMAL,Y,23,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 ,11444.22,11444.22
728,2006-04-24,Other,LD003,Head on collision,1,9,Main Road,NORMAL,Y,18,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2418.48,2418.48
729,2006-04-25,Other,LD003,Head on collision,0,222,Main Road,NORMAL,Y,17,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,879.43,879.43
730,2006-04-26,Other,LD003,Head on collision,8,348,Main Road,NORMAL,N,14,Other,n/k, 1 , 1 , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 ,46879.48,46879.48
731,2006-04-26,Other,LD003,Head on collision,1,218,Minor Road,NORMAL,N,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,2554.40,2554.40
732,2006-04-27,PH,LD003,Head on collision,69,86,Main Road,N/K,n/k,0,Other,n/k, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7624.80,7624.80
733,2006-04-28,Other,LD003,Head on collision,0,42,Minor Road,NORMAL,N,9,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,0.00,0.00
734,2006-04-28,Other,LD003,Head on collision,14,211,Main Road,NORMAL,N,14,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
735,2006-04-28,Other,LD003,Head on collision,0,343,Main Road,NORMAL,Y,11,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,2563.78,2563.78
736,2006-04-30,Other,LD003,Head on collision,1,180,Main Road,WET,N,23,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,85.63,85.63
737,2006-05-01,Other,LD003,Head on collision,1,264,Minor Road,NORMAL,N,15,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,856.56,856.56
738,2006-05-03,Other,LD003,Head on collision,1,212,Minor Road,NORMAL,Y,18,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,811.63,811.63
739,2006-05-04,CNF,LD003,Head on collision,0,66,Home Address,NORMAL,N,7,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   ,12589.93,12589.93
740,2006-05-05,Other,LD003,Head on collision,0,58,Minor Road,NORMAL,Y,8,Other,n/k, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,17201.25,17201.25
741,2006-05-05,Other,LD003,Head on collision,0,24,Minor Road,NORMAL,N,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,5281.58,5281.58
742,2006-05-05,Other,LD003,Head on collision,1,260,Main Road,NORMAL,N,18,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,552.37,552.37
743,2006-05-05,Other,LD003,Head on collision,6,277,Main Road,NORMAL,N,7,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,85.30,85.30
744,2006-05-07,Other,LD003,Head on collision,1,183,Minor Road,WET,N,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2084.21,2084.21
745,2006-05-08,Other,LD003,Head on collision,0,44,Minor Road,NORMAL,N,12,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4716.22,4716.22
